Dataset	Frequency	Scan
MSV000084591	1	4166
MSV000084630	13	4166
MSV000084681	23	4166
MSV000084701	2	4166
MSV000084734	38	4166
MSV000084741	5	4166
MSV000084753	4	4166
MSV000084775	2	4166
MSV000084783	89	4166
MSV000084873	27	4166
MSV000084884	1	4166
MSV000084900	50	4166
MSV000084904	128	4166
MSV000084907	5	4166
MSV000084908	1	4166
MSV000085120	1057	4166
MSV000085142	54	4166
MSV000085161	3	4166
MSV000085226	3	4166
MSV000085389	69	4166
MSV000085446	2	4166
MSV000085480	1	4166
MSV000085607	1	4166
MSV000085654	1	4166
MSV000085657	6	4166
MSV000085724	1	4166
MSV000085870	11	4166
MSV000085879	33	4166
MSV000085944	12	4166
MSV000085991	55	4166
MSV000086063	1	4166
MSV000086064	1	4166
MSV000086131	24	4166
MSV000086178	139	4166
MSV000086246	4	4166
MSV000086348	12	4166
MSV000086381	2	4166
MSV000086483	1	4166
MSV000086760	30	4166
MSV000086830	3	4166
MSV000086926	1	4166
MSV000086956	12	4166
MSV000087005	1	4166
MSV000087006	1	4166
MSV000087021	27	4166
MSV000087093	78	4166
MSV000087141	31	4166
MSV000087646	3	4166
MSV000087685	17	4166
MSV000087854	78	4166
MSV000087904	23	4166
MSV000087905	1	4166
MSV000088023	1	4166
MSV000088040	387	4166
MSV000088316	2	4166
MSV000088420	1	4166
MSV000088594	10	4166
MSV000088843	109	4166
MSV000088967	7	4166
MSV000089061	1	4166
MSV000089210	1	4166
MSV000089459	41	4166
MSV000089518	33	4166
MSV000089558	71	4166
MSV000089638	3	4166
MSV000089715	6	4166
MSV000089834	5	4166
MSV000089837	9	4166
MSV000079329	34	620
MSV000079598	1	620
MSV000079778	1	620
MSV000080050	1	620
MSV000080183	143	620
MSV000080299	1	620
MSV000080558	1	620
MSV000080559	1	620
MSV000080574	2	620
MSV000080629	5	620
MSV000080905	1	620
MSV000080918	1	620
MSV000081347	1	620
MSV000081351	4	620
MSV000081477	1	620
MSV000081482	44	620
MSV000081492	4	620
MSV000082380	1	620
MSV000082433	12	620
MSV000082582	1	620
MSV000082608	11	620
MSV000082662	8	620
MSV000083073	1	620
MSV000083083	2	620
MSV000083475	1	620
MSV000083523	1	620
MSV000083578	3	620
MSV000083647	2	620
MSV000083756	4	620
MSV000083825	5	620
MSV000084314	19	620
MSV000084556	2	620
MSV000085120	1	620
MSV000085153	4	620
MSV000085446	1	620
MSV000086428	2	620
MSV000086483	2	620
MSV000086608	1	620
MSV000086639	10	620
MSV000086721	9	620
MSV000087087	3	620
MSV000087130	86	620
MSV000087135	1	620
MSV000088137	12	620
MSV000088196	54	620
MSV000088570	52	620
MSV000088640	1	620
MSV000088646	5	620
MSV000089552	15	620
MSV000089907	2	620
MSV000081151	2	1025
MSV000082608	5	1025
MSV000084314	1	1846
Dataset	Frequency	Scan
MSV000079598	1	1974
MSV000080183	32	1974
MSV000080558	1	1974
MSV000080574	7	1974
MSV000080629	10	1974
MSV000080630	6	1974
MSV000080918	1	1974
MSV000080976	113	1974
MSV000081080	4	1974
MSV000081151	24	1974
MSV000081152	1	1974
MSV000081343	3	1974
MSV000081482	7	1974
MSV000081486	3	1974
MSV000082268	4	1974
MSV000082428	6	1974
MSV000082582	2	1974
MSV000082608	104	1974
MSV000082616	5	1974
MSV000082618	2	1974
MSV000082650	28	1974
MSV000082973	12	1974
MSV000083073	57	1974
MSV000083083	7	1974
MSV000083302	20	1974
MSV000083475	2	1974
MSV000083647	8	1974
MSV000084020	19	1974
MSV000084314	11	1974
MSV000085142	2	1974
MSV000085446	1	1974
MSV000087612	2	1974
MSV000088137	2	1974
MSV000088646	2	1974
MSV000080574	1	3624
MSV000080630	7	3624
MSV000081151	6	3624
MSV000081477	1	3624
MSV000078960	4	3870
MSV000079134	1	3870
MSV000079820	2	3870
MSV000080050	1	3870
MSV000080142	88	3870
MSV000080183	5	3870
MSV000080251	584	3870
MSV000080286	2	3870
MSV000080287	2	3870
MSV000080288	2	3870
MSV000080289	2	3870
MSV000080290	2	3870
MSV000080291	2	3870
MSV000080292	2	3870
MSV000080299	1	3870
MSV000080558	4	3870
MSV000080559	1	3870
MSV000080895	25	3870
MSV000080898	28	3870
MSV000080918	4	3870
MSV000080922	275	3870
MSV000081063	24	3870
MSV000081107	2	3870
MSV000081116	11	3870
MSV000081326	13	3870
MSV000081381	10	3870
MSV000081482	3	3870
MSV000081657	3	3870
MSV000081681	1	3870
MSV000081682	1	3870
MSV000081777	354	3870
MSV000081778	1	3870
MSV000081780	84	3870
MSV000081936	1	3870
MSV000081949	10	3870
MSV000082045	544	3870
MSV000082072	1	3870
MSV000082074	7	3870
MSV000082081	10	3870
MSV000082131	88	3870
MSV000082221	1	3870
MSV000082268	3	3870
MSV000082369	3	3870
MSV000082377	1	3870
MSV000082379	69	3870
MSV000082384	6	3870
MSV000082385	9	3870
MSV000082402	69	3870
MSV000082481	251	3870
MSV000082802	130	3870
MSV000082813	2	3870
MSV000082972	2	3870
MSV000083010	7	3870
MSV000083040	1	3870
MSV000083077	1	3870
MSV000083183	1	3870
MSV000083263	10	3870
MSV000083359	10	3870
MSV000083378	57	3870
MSV000083395	1	3870
MSV000083462	1	3870
MSV000083463	2	3870
MSV000083500	6	3870
MSV000083584	1	3870
MSV000083610	21	3870
MSV000083660	2	3870
MSV000083666	1	3870
MSV000083766	22	3870
MSV000083773	22	3870
MSV000083835	4	3870
MSV000083956	348	3870
MSV000084314	38	3870
MSV000084475	244	3870
MSV000084673	46	3870
MSV000084680	95	3870
MSV000084701	186	3870
MSV000084884	1	3870
MSV000084900	7	3870
MSV000084945	8	3870
MSV000084951	22	3870
MSV000085018	1	3870
MSV000085024	1	3870
MSV000085417	33	3870
MSV000085975	4	3870
MSV000086230	104	3870
MSV000086428	6	3870
MSV000086455	36	3870
MSV000086550	890	3870
MSV000086639	146	3870
MSV000086673	28	3870
MSV000086721	6	3870
MSV000086821	176	3870
MSV000086884	1	3870
MSV000087130	369	3870
MSV000087685	171	3870
MSV000087793	2	3870
MSV000087904	44	3870
MSV000087997	3	3870
MSV000088693	4	3870
MSV000088745	5	3870
MSV000089653	21	3870
MSV000089835	9	3870
MSV000089837	18	3870
MSV000079329	22	2691
MSV000079598	1	2691
MSV000080183	139	2691
MSV000080469	1	2691
MSV000080558	47	2691
MSV000080574	3	2691
MSV000080628	54	2691
MSV000080629	64	2691
MSV000080630	26	2691
MSV000080905	3	2691
MSV000080918	47	2691
MSV000080976	2	2691
MSV000081080	1	2691
MSV000081151	92	2691
MSV000081326	10	2691
MSV000081343	14	2691
MSV000081344	19	2691
MSV000081351	16	2691
MSV000081354	5	2691
MSV000081477	45	2691
MSV000081482	43	2691
MSV000081486	1	2691
MSV000082049	7	2691
MSV000082074	1	2691
MSV000082268	11	2691
MSV000082480	18	2691
MSV000082582	13	2691
MSV000082647	1	2691
MSV000082813	32	2691
MSV000082891	34	2691
MSV000082969	3	2691
MSV000082972	32	2691
MSV000082973	19	2691
MSV000083010	1	2691
MSV000083024	3	2691
MSV000083073	31	2691
MSV000083083	4	2691
MSV000083302	8	2691
MSV000083383	4	2691
MSV000083462	2	2691
MSV000083475	3	2691
MSV000083647	4	2691
MSV000083664	4	2691
MSV000083666	4	2691
MSV000083689	2	2691
MSV000083756	16	2691
MSV000083777	1	2691
MSV000083995	1	2691
MSV000084099	5	2691
MSV000084101	1	2691
MSV000084218	3	2691
MSV000084314	28	2691
MSV000084556	1	2691
MSV000084576	4	2691
MSV000084610	4	2691
MSV000084630	1	2691
MSV000084734	1	2691
MSV000084753	32	2691
MSV000084783	170	2691
MSV000084900	1	2691
MSV000084904	3	2691
MSV000085120	11	2691
MSV000085864	2	2691
MSV000086131	11	2691
MSV000086178	166	2691
MSV000086482	3	2691
MSV000086989	7	2691
MSV000087087	4	2691
MSV000087130	7	2691
MSV000087522	2	2691
MSV000087612	2	2691
MSV000087646	1	2691
MSV000087685	20	2691
MSV000087854	12	2691
MSV000088040	2	2691
MSV000088087	2	2691
MSV000088337	1	2691
MSV000088646	10	2691
MSV000089210	1	2691
MSV000089459	25	2691
MSV000089518	8	2691
MSV000089715	7	2691
MSV000079034	71	3597
MSV000079069	60	3597
MSV000079134	1	3597
MSV000079697	2	3597
MSV000079706	2	3597
MSV000079772	1	3597
MSV000079808	37	3597
MSV000079813	56	3597
MSV000079888	24	3597
MSV000080016	133	3597
MSV000080141	2	3597
MSV000080183	26	3597
MSV000080188	51	3597
MSV000080299	91	3597
MSV000080490	2	3597
MSV000080518	1	3597
MSV000080554	1	3597
MSV000080574	1	3597
MSV000080628	5	3597
MSV000080629	4	3597
MSV000080630	33	3597
MSV000080905	77	3597
MSV000080976	14	3597
MSV000081067	9	3597
MSV000081151	68	3597
MSV000081160	80	3597
MSV000081343	15	3597
MSV000081354	1	3597
MSV000081463	150	3597
MSV000081482	10	3597
MSV000081486	1	3597
MSV000081949	7	3597
MSV000081955	63	3597
MSV000082048	313	3597
MSV000082049	323	3597
MSV000082068	1	3597
MSV000082074	2	3597
MSV000082083	1	3597
MSV000082157	379	3597
MSV000082268	1	3597
MSV000082382	50	3597
MSV000082428	12	3597
MSV000082480	12	3597
MSV000082582	34	3597
MSV000082602	18	3597
MSV000082608	354	3597
MSV000082612	97	3597
MSV000082614	39	3597
MSV000082616	59	3597
MSV000082618	110	3597
MSV000082630	130	3597
MSV000082647	11	3597
MSV000082649	17	3597
MSV000082650	219	3597
MSV000082813	16	3597
MSV000082850	1	3597
MSV000082969	3	3597
MSV000082972	16	3597
MSV000082973	20	3597
MSV000083004	1	3597
MSV000083010	2	3597
MSV000083065	1	3597
MSV000083073	138	3597
MSV000083083	3	3597
MSV000083098	2	3597
MSV000083106	16	3597
MSV000083272	1	3597
MSV000083274	8	3597
MSV000083302	27	3597
MSV000083306	69	3597
MSV000083357	1	3597
MSV000083383	1	3597
MSV000083388	3	3597
MSV000083395	2	3597
MSV000083472	2	3597
MSV000083475	160	3597
MSV000083541	2	3597
MSV000083612	1	3597
MSV000083631	3	3597
MSV000083647	3	3597
MSV000083664	3	3597
MSV000083665	3	3597
MSV000083689	2	3597
MSV000083729	28	3597
MSV000083756	17	3597
MSV000083791	2	3597
MSV000083825	8	3597
MSV000083835	5	3597
MSV000083889	10	3597
MSV000084020	17	3597
MSV000084060	25	3597
MSV000084099	2	3597
MSV000084314	54	3597
MSV000084325	16	3597
MSV000084430	1	3597
MSV000084447	1	3597
MSV000084453	1	3597
MSV000084556	24	3597
MSV000084587	1	3597
MSV000084595	6	3597
MSV000084734	1	3597
MSV000084753	29	3597
MSV000084783	6	3597
MSV000084900	3	3597
MSV000084908	3	3597
MSV000085025	6	3597
MSV000085071	8	3597
MSV000085119	61	3597
MSV000085129	64	3597
MSV000085142	6	3597
MSV000085226	1	3597
MSV000085256	40	3597
MSV000085360	2	3597
MSV000085446	1	3597
MSV000085467	6	3597
MSV000085480	8	3597
MSV000085555	6	3597
MSV000085619	1	3597
MSV000085657	6	3597
MSV000085693	6	3597
MSV000085777	14	3597
MSV000085779	10	3597
MSV000085840	13	3597
MSV000085852	31	3597
MSV000085882	2	3597
MSV000085919	1	3597
MSV000085925	7	3597
MSV000085991	2	3597
MSV000086012	17	3597
MSV000086014	10	3597
MSV000086015	2	3597
MSV000086063	7	3597
MSV000086064	7	3597
MSV000086065	1	3597
MSV000086123	1	3597
MSV000086131	8	3597
MSV000086178	7	3597
MSV000086236	28	3597
MSV000086293	1	3597
MSV000086301	1	3597
MSV000086312	1	3597
MSV000086348	5	3597
MSV000086360	24	3597
MSV000086381	17	3597
MSV000086427	10	3597
MSV000086482	2	3597
MSV000086644	15	3597
MSV000086666	1	3597
MSV000086830	12	3597
MSV000086917	1	3597
MSV000086989	33	3597
MSV000087006	1	3597
MSV000087021	2	3597
MSV000087087	1	3597
MSV000087127	2	3597
MSV000087135	1	3597
MSV000087148	1	3597
MSV000087322	3	3597
MSV000087449	1	3597
MSV000087471	12	3597
MSV000087588	12	3597
MSV000087630	1	3597
MSV000087685	10	3597
MSV000087702	9	3597
MSV000087711	1	3597
MSV000087728	278	3597
MSV000087745	3	3597
MSV000087747	3	3597
MSV000087809	4	3597
MSV000087905	1	3597
MSV000087951	4	3597
MSV000087995	15	3597
MSV000088008	9	3597
MSV000088021	9	3597
MSV000088040	24	3597
MSV000088062	12	3597
MSV000088137	1	3597
MSV000088164	2	3597
MSV000088324	3	3597
MSV000088335	3	3597
MSV000088420	1	3597
MSV000088564	1	3597
MSV000088586	1	3597
MSV000088606	7	3597
MSV000088646	18	3597
MSV000088690	1	3597
MSV000088693	5	3597
MSV000088697	19	3597
MSV000088823	80	3597
MSV000089061	8	3597
MSV000089210	1	3597
MSV000089491	1	3597
MSV000089558	70	3597
MSV000089638	1	3597
MSV000080183	4	3191
MSV000080630	1	3191
MSV000081482	2	3191
MSV000089518	6	3191
MSV000079034	119	1992
MSV000079069	100	1992
MSV000079150	8	1992
MSV000079485	16	1992
MSV000079598	1	1992
MSV000079697	10	1992
MSV000079706	1	1992
MSV000079709	1	1992
MSV000079717	3	1992
MSV000079718	4	1992
MSV000079720	1	1992
MSV000079772	6	1992
MSV000079773	8	1992
MSV000079813	78	1992
MSV000079888	13	1992
MSV000080016	79	1992
MSV000080142	15	1992
MSV000080183	48	1992
MSV000080188	28	1992
MSV000080299	64	1992
MSV000080335	1	1992
MSV000080507	2	1992
MSV000080559	1	1992
MSV000080574	216	1992
MSV000080627	1	1992
MSV000080628	2	1992
MSV000080629	169	1992
MSV000080630	30	1992
MSV000080905	21	1992
MSV000080976	2	1992
MSV000081045	3	1992
MSV000081048	2	1992
MSV000081067	3	1992
MSV000081097	4	1992
MSV000081151	6	1992
MSV000081152	7	1992
MSV000081160	4	1992
MSV000081343	33	1992
MSV000081463	136	1992
MSV000081482	16	1992
MSV000081669	1	1992
MSV000081853	1	1992
MSV000081936	1	1992
MSV000081949	8	1992
MSV000081955	2	1992
MSV000082048	111	1992
MSV000082049	334	1992
MSV000082074	1	1992
MSV000082083	2	1992
MSV000082085	2	1992
MSV000082157	152	1992
MSV000082178	4	1992
MSV000082331	4	1992
MSV000082382	13	1992
MSV000082428	24	1992
MSV000082433	5	1992
MSV000082480	70	1992
MSV000082582	54	1992
MSV000082608	368	1992
MSV000082612	25	1992
MSV000082616	13	1992
MSV000082629	19	1992
MSV000082630	1	1992
MSV000082647	32	1992
MSV000082650	243	1992
MSV000082813	82	1992
MSV000082869	5	1992
MSV000082891	26	1992
MSV000082953	7	1992
MSV000082972	82	1992
MSV000082973	84	1992
MSV000083010	1	1992
MSV000083073	136	1992
MSV000083083	345	1992
MSV000083094	2	1992
MSV000083098	3	1992
MSV000083106	13	1992
MSV000083300	157	1992
MSV000083302	4	1992
MSV000083306	153	1992
MSV000083320	53	1992
MSV000083383	2	1992
MSV000083388	2	1992
MSV000083395	2	1992
MSV000083396	1	1992
MSV000083472	4	1992
MSV000083475	249	1992
MSV000083541	23	1992
MSV000083559	72	1992
MSV000083647	376	1992
MSV000083660	1	1992
MSV000083729	8	1992
MSV000083756	13	1992
MSV000083772	1	1992
MSV000083791	12	1992
MSV000083825	9	1992
MSV000083835	2	1992
MSV000084020	12	1992
MSV000084101	1	1992
MSV000084116	3	1992
MSV000084278	1	1992
MSV000084314	39	1992
MSV000084355	1	1992
MSV000084512	2	1992
MSV000084556	26	1992
MSV000084576	42	1992
MSV000084734	1	1992
MSV000084753	39	1992
MSV000084783	5	1992
MSV000084900	1	1992
MSV000084904	53	1992
MSV000085119	1	1992
MSV000085129	39	1992
MSV000085256	2	1992
MSV000085416	8	1992
MSV000085446	66	1992
MSV000085480	5	1992
MSV000085864	1	1992
MSV000085944	1	1992
MSV000086065	1	1992
MSV000086123	1	1992
MSV000086131	24	1992
MSV000086178	11	1992
MSV000086208	3	1992
MSV000086209	11	1992
MSV000086221	3	1992
MSV000086293	1	1992
MSV000086360	7	1992
MSV000086415	1	1992
MSV000086427	1	1992
MSV000086644	8	1992
MSV000086676	9	1992
MSV000086830	59	1992
MSV000086884	5	1992
MSV000086917	1	1992
MSV000087093	50	1992
MSV000087127	2	1992
MSV000087135	3	1992
MSV000087148	2	1992
MSV000087646	1	1992
MSV000087685	42	1992
MSV000087711	4	1992
MSV000087728	59	1992
MSV000087935	1	1992
MSV000087951	1	1992
MSV000087995	7	1992
MSV000088040	51	1992
MSV000088062	4	1992
MSV000088087	1	1992
MSV000088137	1	1992
MSV000088164	2	1992
MSV000088242	3	1992
MSV000088606	6	1992
MSV000088690	1	1992
MSV000088697	17	1992
MSV000088750	1	1992
MSV000088821	35	1992
MSV000088823	12	1992
MSV000089061	5	1992
MSV000089210	1	1992
MSV000089518	13	1992
MSV000089558	20	1992
MSV000089715	11	1992
MSV000089834	3	1992
MSV000090000	4	1992
MSV000080183	37	4168
MSV000080574	2	4168
MSV000080629	89	4168
MSV000080630	21	4168
MSV000081151	11	4168
MSV000081343	79	4168
MSV000081351	6	4168
MSV000081482	15	4168
MSV000082049	6	4168
MSV000082480	10	4168
MSV000082608	2	4168
MSV000082618	1	4168
MSV000082647	1	4168
MSV000082650	2	4168
MSV000082813	12	4168
MSV000082891	23	4168
MSV000082972	12	4168
MSV000082973	27	4168
MSV000083004	2	4168
MSV000083446	13	4168
MSV000084314	8	4168
MSV000084630	1	4168
MSV000084753	3	4168
MSV000086131	1	4168
MSV000087093	1	4168
MSV000088040	40	4168
MSV000088640	1	4168
MSV000088843	27	4168
MSV000089459	5	4168
MSV000079485	1	3885
MSV000081952	2	3885
MSV000083077	2	3885
MSV000080183	5	2568
MSV000080629	4	2568
MSV000080630	12	2568
MSV000080673	1	2568
MSV000080905	2	2568
MSV000081151	23	2568
MSV000081343	2	2568
MSV000081741	1	2568
MSV000081981	1	2568
MSV000082049	18	2568
MSV000082428	24	2568
MSV000082480	1	2568
MSV000082582	93	2568
MSV000082608	4	2568
MSV000082650	7	2568
MSV000082813	2	2568
MSV000082891	1	2568
MSV000082972	2	2568
MSV000082973	15	2568
MSV000082996	1	2568
MSV000083073	57	2568
MSV000083083	36	2568
MSV000083094	1	2568
MSV000083351	1	2568
MSV000083475	4	2568
MSV000083647	40	2568
MSV000083666	1	2568
MSV000084170	1	2568
MSV000084314	13	2568
MSV000084630	6	2568
MSV000084753	2	2568
MSV000084783	117	2568
MSV000085120	14	2568
MSV000086063	1	2568
MSV000086064	1	2568
MSV000086131	32	2568
MSV000086178	106	2568
MSV000087904	7	2568
MSV000088040	1	2568
MSV000089459	16	2568
MSV000089715	3	2568
MSV000079329	2	2931
MSV000082582	37	2931
MSV000082973	42	2931
MSV000083073	31	2931
MSV000084314	2	2931
MSV000079134	8	4200
MSV000079398	3	4200
MSV000079598	1	4200
MSV000079949	17	4200
MSV000080182	3	4200
MSV000080183	152	4200
MSV000080469	1	4200
MSV000080507	2	4200
MSV000080533	1	4200
MSV000080574	2	4200
MSV000080627	34	4200
MSV000080628	6	4200
MSV000080629	49	4200
MSV000080630	27	4200
MSV000080905	17	4200
MSV000081067	1	4200
MSV000081151	22	4200
MSV000081326	59	4200
MSV000081343	213	4200
MSV000081347	1	4200
MSV000081351	32	4200
MSV000081364	9	4200
MSV000081482	46	4200
MSV000081492	6	4200
MSV000081675	1	4200
MSV000081681	2	4200
MSV000081682	1	4200
MSV000081748	3	4200
MSV000081936	2	4200
MSV000082049	6	4200
MSV000082074	21	4200
MSV000082082	5	4200
MSV000082083	19	4200
MSV000082085	2	4200
MSV000082086	8	4200
MSV000082268	10	4200
MSV000082312	18	4200
MSV000082433	2	4200
MSV000082480	62	4200
MSV000082608	1	4200
MSV000082647	1	4200
MSV000082813	114	4200
MSV000082820	1	4200
MSV000082869	2	4200
MSV000082905	2	4200
MSV000082952	1	4200
MSV000082972	114	4200
MSV000082973	190	4200
MSV000082996	29	4200
MSV000083004	28	4200
MSV000083010	23	4200
MSV000083134	1	4200
MSV000083351	26	4200
MSV000083432	13	4200
MSV000083436	20	4200
MSV000083437	4	4200
MSV000083446	108	4200
MSV000083481	5	4200
MSV000083482	5	4200
MSV000083483	1	4200
MSV000083559	79	4200
MSV000083729	2	4200
MSV000083772	12	4200
MSV000083889	12	4200
MSV000084062	1	4200
MSV000084092	2	4200
MSV000084101	1	4200
MSV000084107	1	4200
MSV000084116	2	4200
MSV000084119	1	4200
MSV000084170	27	4200
MSV000084314	82	4200
MSV000084591	2	4200
MSV000084701	1	4200
MSV000084734	14	4200
MSV000084753	1	4200
MSV000084783	14	4200
MSV000084873	3	4200
MSV000084884	1	4200
MSV000084900	25	4200
MSV000084907	1	4200
MSV000085025	6	4200
MSV000085120	550	4200
MSV000085129	8	4200
MSV000085480	4	4200
MSV000085555	7	4200
MSV000085561	40	4200
MSV000085657	3	4200
MSV000085786	8	4200
MSV000085843	4	4200
MSV000085844	5	4200
MSV000085852	9	4200
MSV000085864	22	4200
MSV000085870	11	4200
MSV000085891	10	4200
MSV000085944	3	4200
MSV000085991	3	4200
MSV000086063	4	4200
MSV000086064	4	4200
MSV000086131	15	4200
MSV000086207	2	4200
MSV000086270	3	4200
MSV000086639	5	4200
MSV000086760	30	4200
MSV000086830	5	4200
MSV000086956	2	4200
MSV000087005	1	4200
MSV000087087	3	4200
MSV000087130	1	4200
MSV000087141	9	4200
MSV000087364	1	4200
MSV000087612	10	4200
MSV000087685	8	4200
MSV000087854	5	4200
MSV000087904	7	4200
MSV000088021	102	4200
MSV000088040	208	4200
MSV000088087	12	4200
MSV000088137	8	4200
MSV000088164	11	4200
MSV000088546	2	4200
MSV000088594	60	4200
MSV000088640	2	4200
MSV000088645	15	4200
MSV000088646	3	4200
MSV000088693	25	4200
MSV000088843	92	4200
MSV000089210	1	4200
MSV000089313	2	4200
MSV000089459	41	4200
MSV000089518	12	4200
MSV000089558	54	4200
MSV000089715	4	4200
MSV000079134	32	4446
MSV000079329	46	4446
MSV000079598	1	4446
MSV000080183	507	4446
MSV000080469	1	4446
MSV000080558	42	4446
MSV000080574	72	4446
MSV000080628	87	4446
MSV000080629	163	4446
MSV000080630	41	4446
MSV000080905	2	4446
MSV000080918	42	4446
MSV000081151	123	4446
MSV000081152	1	4446
MSV000081343	124	4446
MSV000081351	129	4446
MSV000081354	2	4446
MSV000081477	75	4446
MSV000081482	175	4446
MSV000081492	1	4446
MSV000082074	1	4446
MSV000082480	88	4446
MSV000082582	134	4446
MSV000082813	142	4446
MSV000082891	32	4446
MSV000082972	142	4446
MSV000082973	242	4446
MSV000083010	1	4446
MSV000083024	1	4446
MSV000083073	44	4446
MSV000083083	13	4446
MSV000083383	3	4446
MSV000083462	1	4446
MSV000083475	1	4446
MSV000083559	1	4446
MSV000083647	15	4446
MSV000084101	1	4446
MSV000084218	1	4446
MSV000084314	29	4446
MSV000084734	1	4446
MSV000084753	23	4446
MSV000084783	211	4446
MSV000084900	1	4446
MSV000085120	1	4446
MSV000085446	16	4446
MSV000085891	2	4446
MSV000086063	1	4446
MSV000086064	1	4446
MSV000086131	24	4446
MSV000086178	74	4446
MSV000087093	30	4446
MSV000087612	3	4446
MSV000087689	1	4446
MSV000088040	13	4446
MSV000088087	4	4446
MSV000088137	2	4446
MSV000088646	8	4446
MSV000088843	1	4446
MSV000089210	1	4446
MSV000089459	41	4446
MSV000089506	1	4446
MSV000089518	32	4446
MSV000089558	58	4446
MSV000089715	14	4446
MSV000079034	37	3552
MSV000079069	27	3552
MSV000079134	6	3552
MSV000079329	8	3552
MSV000079516	2	3552
MSV000079518	1	3552
MSV000079520	2	3552
MSV000079523	2	3552
MSV000079598	2	3552
MSV000079651	3	3552
MSV000079697	12	3552
MSV000079707	4	3552
MSV000079710	1	3552
MSV000079717	1	3552
MSV000079718	1	3552
MSV000079719	5	3552
MSV000079808	12	3552
MSV000079813	10	3552
MSV000079888	22	3552
MSV000079900	4	3552
MSV000079949	2	3552
MSV000080016	44	3552
MSV000080074	2	3552
MSV000080141	2	3552
MSV000080167	2	3552
MSV000080174	1	3552
MSV000080179	5	3552
MSV000080180	16	3552
MSV000080181	1	3552
MSV000080182	2	3552
MSV000080183	302	3552
MSV000080186	2	3552
MSV000080187	3	3552
MSV000080188	81	3552
MSV000080299	116	3552
MSV000080450	15	3552
MSV000080469	3	3552
MSV000080518	3	3552
MSV000080554	2	3552
MSV000080574	89	3552
MSV000080627	2	3552
MSV000080628	26	3552
MSV000080629	57	3552
MSV000080630	87	3552
MSV000080673	2	3552
MSV000080905	116	3552
MSV000080961	9	3552
MSV000080976	404	3552
MSV000081005	3	3552
MSV000081067	32	3552
MSV000081082	1	3552
MSV000081083	1	3552
MSV000081097	3	3552
MSV000081151	112	3552
MSV000081152	5	3552
MSV000081160	76	3552
MSV000081343	104	3552
MSV000081347	1	3552
MSV000081351	7	3552
MSV000081354	3	3552
MSV000081379	1	3552
MSV000081432	10	3552
MSV000081463	116	3552
MSV000081477	23	3552
MSV000081482	116	3552
MSV000081486	10	3552
MSV000081492	1	3552
MSV000081524	3	3552
MSV000081571	4	3552
MSV000081665	1	3552
MSV000081670	2	3552
MSV000081675	1	3552
MSV000081681	1	3552
MSV000081682	1	3552
MSV000081683	3	3552
MSV000081731	1	3552
MSV000081748	1	3552
MSV000081750	3	3552
MSV000081753	2	3552
MSV000081810	1	3552
MSV000081936	2	3552
MSV000081949	14	3552
MSV000081950	6	3552
MSV000081952	1	3552
MSV000081955	27	3552
MSV000081981	2	3552
MSV000081999	10	3552
MSV000082005	28	3552
MSV000082048	396	3552
MSV000082049	1216	3552
MSV000082069	1	3552
MSV000082072	3	3552
MSV000082073	1	3552
MSV000082074	21	3552
MSV000082086	1	3552
MSV000082157	421	3552
MSV000082178	2	3552
MSV000082221	7	3552
MSV000082268	48	3552
MSV000082323	11	3552
MSV000082324	15	3552
MSV000082374	5	3552
MSV000082380	1	3552
MSV000082382	8	3552
MSV000082428	18	3552
MSV000082432	146	3552
MSV000082433	1	3552
MSV000082480	66	3552
MSV000082582	168	3552
MSV000082602	7	3552
MSV000082608	380	3552
MSV000082612	239	3552
MSV000082614	50	3552
MSV000082616	183	3552
MSV000082618	157	3552
MSV000082629	18	3552
MSV000082630	9	3552
MSV000082633	1	3552
MSV000082647	7	3552
MSV000082650	252	3552
MSV000082725	1	3552
MSV000082728	2	3552
MSV000082813	78	3552
MSV000082869	2	3552
MSV000082944	2	3552
MSV000082969	36	3552
MSV000082972	78	3552
MSV000082973	93	3552
MSV000082999	1	3552
MSV000083004	23	3552
MSV000083010	21	3552
MSV000083024	3	3552
MSV000083032	1	3552
MSV000083055	1	3552
MSV000083065	182	3552
MSV000083073	200	3552
MSV000083077	1	3552
MSV000083080	3	3552
MSV000083083	41	3552
MSV000083094	2	3552
MSV000083098	1	3552
MSV000083102	1	3552
MSV000083106	9	3552
MSV000083274	5	3552
MSV000083302	148	3552
MSV000083306	244	3552
MSV000083320	4	3552
MSV000083353	16	3552
MSV000083357	1	3552
MSV000083383	6	3552
MSV000083388	1	3552
MSV000083395	2	3552
MSV000083396	2	3552
MSV000083411	1	3552
MSV000083446	25	3552
MSV000083462	7	3552
MSV000083463	4	3552
MSV000083472	4	3552
MSV000083475	291	3552
MSV000083521	1	3552
MSV000083523	2	3552
MSV000083541	10	3552
MSV000083559	3	3552
MSV000083647	44	3552
MSV000083660	1	3552
MSV000083664	23	3552
MSV000083665	27	3552
MSV000083666	5	3552
MSV000083689	32	3552
MSV000083723	2	3552
MSV000083729	25	3552
MSV000083756	76	3552
MSV000083758	1	3552
MSV000083759	3	3552
MSV000083772	1	3552
MSV000083777	13	3552
MSV000083789	11	3552
MSV000083791	1	3552
MSV000083825	17	3552
MSV000083835	8	3552
MSV000083995	1	3552
MSV000084020	127	3552
MSV000084024	1	3552
MSV000084060	17	3552
MSV000084095	3	3552
MSV000084099	32	3552
